source_id,asset_path,style_category,role,notes
matv2-clay-001,extensions/material_styles_v2/raw/clay/matv2-clay-001.png,clay,candidate,clear fictional clay portrait
matv2-clay-002,extensions/material_styles_v2/raw/clay/matv2-clay-002.png,clay,candidate,clear fictional clay portrait
matv2-clay-003,extensions/material_styles_v2/raw/clay/matv2-clay-003.png,clay,holdout,rounded older-face material case
matv2-clay-004,extensions/material_styles_v2/raw/clay/matv2-clay-004.png,clay,candidate,clear fictional clay portrait
matv2-clay-005,extensions/material_styles_v2/raw/clay/matv2-clay-005.png,clay,candidate,clear fictional clay portrait
matv2-clay-006,extensions/material_styles_v2/raw/clay/matv2-clay-006.png,clay,holdout,strong exaggerated-geometry case
matv2-clay-007,extensions/material_styles_v2/raw/clay/matv2-clay-007.png,clay,candidate,clear fictional clay portrait
matv2-clay-008,extensions/material_styles_v2/raw/clay/matv2-clay-008.png,clay,candidate,clear fictional clay portrait
matv2-clay-009,extensions/material_styles_v2/raw/clay/matv2-clay-009.png,clay,candidate,clear fictional clay portrait
matv2-clay-010,extensions/material_styles_v2/raw/clay/matv2-clay-010.png,clay,candidate,clear fictional clay portrait
matv2-clay-011,extensions/material_styles_v2/raw/clay/matv2-clay-011.png,clay,holdout,older three-quarter pose case
matv2-clay-012,extensions/material_styles_v2/raw/clay/matv2-clay-012.png,clay,candidate,clear fictional clay portrait
matv2-clay-013,extensions/material_styles_v2/raw/clay/matv2-clay-013.png,clay,candidate,clear fictional clay portrait
matv2-clay-014,extensions/material_styles_v2/raw/clay/matv2-clay-014.png,clay,candidate,clear fictional clay portrait
matv2-clay-015,extensions/material_styles_v2/raw/clay/matv2-clay-015.png,clay,candidate,clear fictional clay portrait
matv2-clay-016,extensions/material_styles_v2/raw/clay/matv2-clay-016.png,clay,candidate,clear fictional clay portrait
matv2-clay-017,extensions/material_styles_v2/raw/clay/matv2-clay-017.png,clay,candidate,clear fictional clay portrait
matv2-clay-018,extensions/material_styles_v2/raw/clay/matv2-clay-018.png,clay,holdout,strong faceted-material case
matv2-clay-019,extensions/material_styles_v2/raw/clay/matv2-clay-019.png,clay,candidate,clear fictional clay portrait
matv2-clay-020,extensions/material_styles_v2/raw/clay/matv2-clay-020.png,clay,candidate,clear fictional clay portrait
matv2-clay-021,extensions/material_styles_v2/raw/clay/matv2-clay-021.png,clay,candidate,clear fictional clay portrait
matv2-clay-022,extensions/material_styles_v2/raw/clay/matv2-clay-022.png,clay,candidate,clear fictional clay portrait
matv2-clay-023,extensions/material_styles_v2/raw/clay/matv2-clay-023.png,clay,holdout,dark-material three-quarter pose case
matv2-clay-024,extensions/material_styles_v2/raw/clay/matv2-clay-024.png,clay,candidate,clear fictional clay portrait
cma-clay-1917-98,extensions/material_styles_v1/raw/clay/cma-clay-1917-98.jpg,clay,rejected,museum fragment lacks recoverable natural portrait evidence
cma-clay-1925-946,extensions/material_styles_v1/raw/clay/cma-clay-1925-946.jpg,clay,rejected,museum fragment lacks recoverable natural portrait evidence
cma-clay-1929-977,extensions/material_styles_v1/raw/clay/cma-clay-1929-977.jpg,clay,rejected,museum fragment lacks recoverable natural portrait evidence
cma-clay-1930-627,extensions/material_styles_v1/raw/clay/cma-clay-1930-627.jpg,clay,rejected,museum vessel lacks recoverable natural portrait evidence
cma-clay-1933-167,extensions/material_styles_v1/raw/clay/cma-clay-1933-167.jpg,clay,rejected,museum fragment lacks recoverable natural portrait evidence
cma-clay-1933-172,extensions/material_styles_v1/raw/clay/cma-clay-1933-172.jpg,clay,rejected,museum fragment lacks recoverable natural portrait evidence
cma-clay-1944-462,extensions/material_styles_v1/raw/clay/cma-clay-1944-462.jpg,clay,rejected,museum fragment lacks recoverable natural portrait evidence
cma-clay-1951-27,extensions/material_styles_v1/raw/clay/cma-clay-1951-27.jpg,clay,rejected,museum fragment lacks recoverable natural portrait evidence
cma-clay-1965-74-1,extensions/material_styles_v1/raw/clay/cma-clay-1965-74-1.jpg,clay,rejected,museum bust lacks recoverable natural portrait evidence
cma-clay-1968-101,extensions/material_styles_v1/raw/clay/cma-clay-1968-101.jpg,clay,rejected,museum fragment lacks recoverable natural portrait evidence
cma-clay-1975-157,extensions/material_styles_v1/raw/clay/cma-clay-1975-157.jpg,clay,rejected,museum fragment lacks recoverable natural portrait evidence
cma-clay-1990-22,extensions/material_styles_v1/raw/clay/cma-clay-1990-22.jpg,clay,rejected,museum fragment lacks recoverable natural portrait evidence
