blind_id,canonical_id,source_id,method,style_category,content_score,style_removal_score,identity_score,identity_judgment_valid,accepted,missing_core,content_dimension_failed,style_dimension_failed,identity_dimension_failed,failure_types,core_complete_at_reduction
P-0001,prompt_adaptive:synthetic-3d-cartoon-029,synthetic-3d-cartoon-029,prompt_adaptive,3d_cartoon,3,3,3,yes,False,False,True,True,True,material_render_residual;structure_drift,True
P-0003,region_canny:met-459232,met-459232,region_canny,ink,3,2,2,yes,False,False,True,True,True,artistic_contour_residual;identity_drift;material_render_residual,True
P-0004,prompt_generic:cma-169341,cma-169341,prompt_generic,ink,1,3,1,no,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift;material_render_residual;structure_drift,True
P-0005,global_canny_0p4:cma-121265,cma-121265,global_canny_0p4,watercolor,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0006,global_canny_0p4:synthetic-comic-023,synthetic-comic-023,global_canny_0p4,comic,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0007,global_canny_0p4:cma-108522,cma-108522,global_canny_0p4,watercolor,3,2,2,yes,False,False,True,True,True,artistic_contour_residual;identity_drift;material_render_residual,True
P-0009,prompt_adaptive:cma-108522,cma-108522,prompt_adaptive,watercolor,1,2,1,yes,False,False,True,True,True,artistic_contour_residual;identity_drift;material_render_residual,True
P-0010,region_canny:wm-wm_carrot-63817815,wm-wm_carrot-63817815,region_canny,comic,1,1,2,no,False,False,True,True,True,artistic_contour_residual;background_drift;material_render_residual;structure_drift,True
P-0012,global_canny_0p4:cma-329352,cma-329352,global_canny_0p4,ink,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0013,prompt_generic:cma-120848,cma-120848,prompt_generic,ink,1,3,2,yes,False,False,True,True,True,material_render_residual,True
P-0014,prompt_adaptive:met-376383,met-376383,prompt_adaptive,ink,1,2,1,yes,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift;material_render_residual;structure_drift,True
P-0016,global_canny_0p4:synthetic-3d-cartoon-032,synthetic-3d-cartoon-032,global_canny_0p4,3d_cartoon,3,3,4,yes,False,False,True,True,False,background_drift;material_render_residual,True
P-0017,flux_kontext_native1024:synthetic-comic-022,synthetic-comic-022,flux_kontext_native1024,comic,4,4,4,yes,True,False,False,False,False,,True
P-0018,flux_kontext_native1024:wm-wm_carrot-64417174,wm-wm_carrot-64417174,flux_kontext_native1024,comic,5,4,5,yes,True,False,False,False,False,,True
P-0019,region_canny:met-459195,met-459195,region_canny,ink,2,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0021,region_canny:cma-121287,cma-121287,region_canny,watercolor,4,3,4,yes,False,False,False,True,False,material_render_residual,True
P-0022,region_canny:met-376383,met-376383,region_canny,ink,3,2,2,yes,False,False,True,True,True,artistic_contour_residual;background_drift,True
P-0023,flux_kontext_native1024:synthetic-comic-016,synthetic-comic-016,flux_kontext_native1024,comic,4,3,4,yes,False,False,False,True,False,material_render_residual,True
P-0024,flux_kontext_native1024:cma-329352,cma-329352,flux_kontext_native1024,ink,5,4,5,yes,True,False,False,False,False,,True
P-0025,region_canny:synthetic-3d-cartoon-033,synthetic-3d-cartoon-033,region_canny,3d_cartoon,3,3,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0026,global_canny_0p4:cma-119033,cma-119033,global_canny_0p4,watercolor,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,True
P-0027,prompt_generic:cma-119033,cma-119033,prompt_generic,watercolor,2,3,2,yes,False,False,True,True,True,identity_drift;material_render_residual,True
P-0030,prompt_adaptive:wm-wm_carrot-64417379,wm-wm_carrot-64417379,prompt_adaptive,comic,1,1,1,no,False,False,True,True,True,artistic_contour_residual;background_drift;identity_drift;structure_drift,True
P-0031,prompt_adaptive:cma-120839,cma-120839,prompt_adaptive,watercolor,1,2,1,yes,False,False,True,True,True,artistic_contour_residual;identity_drift;structure_drift,True
P-0032,prompt_generic:wm-wm_carrot-64417174,wm-wm_carrot-64417174,prompt_generic,comic,1,1,1,yes,False,False,True,True,True,artistic_contour_residual;background_drift;structure_drift,True
P-0034,global_canny_0p4:cma-121286,cma-121286,global_canny_0p4,watercolor,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,True
P-0035,prompt_generic:synthetic-3d-cartoon-032,synthetic-3d-cartoon-032,prompt_generic,3d_cartoon,3,3,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0036,prompt_adaptive:cma-121265,cma-121265,prompt_adaptive,watercolor,2,2,1,yes,False,False,True,True,True,artistic_contour_residual;identity_drift;material_render_residual,True
P-0037,prompt_adaptive:met-459195,met-459195,prompt_adaptive,ink,2,1,1,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,True
P-0038,prompt_adaptive:synthetic-3d-cartoon-019,synthetic-3d-cartoon-019,prompt_adaptive,3d_cartoon,3,2,2,yes,False,False,True,True,True,background_drift;material_render_residual,True
P-0039,region_canny:synthetic-comic-023,synthetic-comic-023,region_canny,comic,3,3,3,yes,False,False,True,True,True,artistic_contour_residual;background_drift,True
P-0040,prompt_adaptive:cma-166868,cma-166868,prompt_adaptive,ink,2,1,1,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,True
P-0041,region_canny:synthetic-3d-cartoon-028,synthetic-3d-cartoon-028,region_canny,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0042,region_canny:cma-119033,cma-119033,region_canny,watercolor,3,2,2,yes,False,False,True,True,True,artistic_contour_residual;identity_drift,True
P-0043,global_canny_0p4:synthetic-comic-024,synthetic-comic-024,global_canny_0p4,comic,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0044,prompt_adaptive:synthetic-3d-cartoon-028,synthetic-3d-cartoon-028,prompt_adaptive,3d_cartoon,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0045,flux_kontext_native1024:met-459232,met-459232,flux_kontext_native1024,ink,5,4,4,yes,True,False,False,False,False,,True
P-0046,global_canny_0p4:cma-120840,cma-120840,global_canny_0p4,watercolor,3,2,3,yes,False,False,True,True,True,artistic_contour_residual,True
P-0047,global_canny_0p4:cma-120839,cma-120839,global_canny_0p4,watercolor,3,2,2,yes,False,False,True,True,True,artistic_contour_residual,True
P-0050,region_canny:synthetic-3d-cartoon-032,synthetic-3d-cartoon-032,region_canny,3d_cartoon,4,4,4,yes,True,False,False,False,False,artistic_contour_residual;background_drift;material_render_residual,True
P-0051,region_canny:synthetic-comic-024,synthetic-comic-024,region_canny,comic,3,2,3,yes,False,False,True,True,True,artistic_contour_residual;material_render_residual,True
P-0052,global_canny_0p4:cma-169341,cma-169341,global_canny_0p4,ink,3,2,2,yes,False,False,True,True,True,artistic_contour_residual,True
P-0053,flux_kontext_native1024:synthetic-3d-cartoon-033,synthetic-3d-cartoon-033,flux_kontext_native1024,3d_cartoon,4,4,4,yes,True,False,False,False,False,material_render_residual,True
P-0057,flux_kontext_native1024:synthetic-3d-cartoon-032,synthetic-3d-cartoon-032,flux_kontext_native1024,3d_cartoon,5,4,5,yes,True,False,False,False,False,,True
P-0059,global_canny_0p4:cma-120841,cma-120841,global_canny_0p4,ink,4,2,4,yes,False,False,False,True,False,artistic_contour_residual,True
