source_id,asset_path,style_category,role,notes
matv2-origami-001,extensions/material_styles_v2/raw/origami/matv2-origami-001.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-002,extensions/material_styles_v2/raw/origami/matv2-origami-002.png,origami,holdout,older bearded folded-paper case
matv2-origami-003,extensions/material_styles_v2/raw/origami/matv2-origami-003.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-004,extensions/material_styles_v2/raw/origami/matv2-origami-004.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-005,extensions/material_styles_v2/raw/origami/matv2-origami-005.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-006,extensions/material_styles_v2/raw/origami/matv2-origami-006.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-007,extensions/material_styles_v2/raw/origami/matv2-origami-007.png,origami,holdout,dark-skin strong-facet case
matv2-origami-008,extensions/material_styles_v2/raw/origami/matv2-origami-008.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-009,extensions/material_styles_v2/raw/origami/matv2-origami-009.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-010,extensions/material_styles_v2/raw/origami/matv2-origami-010.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-011,extensions/material_styles_v2/raw/origami/matv2-origami-011.png,origami,holdout,bald severe-plane geometry case
matv2-origami-012,extensions/material_styles_v2/raw/origami/matv2-origami-012.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-013,extensions/material_styles_v2/raw/origami/matv2-origami-013.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-014,extensions/material_styles_v2/raw/origami/matv2-origami-014.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-015,extensions/material_styles_v2/raw/origami/matv2-origami-015.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-016,extensions/material_styles_v2/raw/origami/matv2-origami-016.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-017,extensions/material_styles_v2/raw/origami/matv2-origami-017.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-018,extensions/material_styles_v2/raw/origami/matv2-origami-018.png,origami,holdout,pale angular high-contrast case
matv2-origami-019,extensions/material_styles_v2/raw/origami/matv2-origami-019.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-020,extensions/material_styles_v2/raw/origami/matv2-origami-020.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-021,extensions/material_styles_v2/raw/origami/matv2-origami-021.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-022,extensions/material_styles_v2/raw/origami/matv2-origami-022.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-023,extensions/material_styles_v2/raw/origami/matv2-origami-023.png,origami,holdout,dark dramatic three-quarter pose case
matv2-origami-024,extensions/material_styles_v2/raw/origami/matv2-origami-024.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-025,extensions/material_styles_v2/raw/origami/matv2-origami-025.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-026,extensions/material_styles_v2/raw/origami/matv2-origami-026.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-027,extensions/material_styles_v2/raw/origami/matv2-origami-027.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-028,extensions/material_styles_v2/raw/origami/matv2-origami-028.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-029,extensions/material_styles_v2/raw/origami/matv2-origami-029.png,origami,candidate,clear fictional folded-paper portrait
matv2-origami-030,extensions/material_styles_v2/raw/origami/matv2-origami-030.png,origami,holdout,older dark-skin beard geometry case
