source_id,condition_path,target_path,decision,difficulty_tags,reviewer_notes
origami-hard-v2-001,raw/sources/origami-hard-v2-001.png,teacher/accepted/origami-hard-v2-001.png,accept,"hair_headwear,dark_skin,strong_shadow",Full-frame material conversion and identity preservation passed.
origami-hard-v2-002,raw/sources/origami-hard-v2-002.png,teacher/accepted/origami-hard-v2-002.png,accept,"hair_headwear,headscarf,dark_skin","Headwrap, face, neck, and clothing converted to natural materials."
origami-hard-v2-004,raw/sources/origami-hard-v2-004.png,teacher/accepted/origami-hard-v2-004.png,accept,"hair_headwear,profile,strong_shadow",Paper hair and clothing fully converted with pose retained.
origami-hard-v2-005,raw/sources/origami-hard-v2-005.png,teacher/accepted/origami-hard-v2-005.png,accept,"hair_headwear,elderly",Elderly identity and curled-hair conversion passed.
origami-hard-v2-006,raw/sources/origami-hard-v2-006.png,teacher/accepted/origami-hard-v2-006.png,accept,"hair_headwear,headscarf,geometric_exaggeration",Turban and clothing read as woven textile.
origami-hard-v2-007,raw/sources/origami-hard-v2-007.png,teacher/accepted/origami-hard-v2-007.png,accept,"hair_headwear,profile,dark_skin","Locs, skin, and coat converted under strong shadow."
origami-hard-v2-008,raw/sources/origami-hard-v2-008.png,teacher/accepted/origami-hard-v2-008.png,accept,"hair_headwear,strong_shadow","Age, expression, hair, and garment preserved."
origami-hard-v2-009,raw/sources/origami-hard-v2-009.png,teacher/accepted/origami-hard-v2-009.png,accept,"elderly_wrinkles,beard","Wrinkles, moustache, and beard converted to natural anatomy and fibers."
origami-hard-v2-010,raw/sources/origami-hard-v2-010.png,teacher/accepted/origami-hard-v2-010.png,accept,"elderly_wrinkles,beard,profile","Profile identity, hair, beard, and coat passed."
origami-hard-v2-011,raw/sources/origami-hard-v2-011.png,teacher/accepted/origami-hard-v2-011.png,accept,"elderly_wrinkles,dark_skin,strong_shadow","Elderly face, head covering, and clothing passed."
origami-hard-v2-012,raw/sources/origami-hard-v2-012.png,teacher/accepted/origami-hard-v2-012.png,accept,"elderly_wrinkles,beard,geometric_exaggeration",Geometric beard silhouette retained with natural hair fibers.
origami-hard-v2-013,raw/sources/origami-hard-v2-013.png,teacher/accepted/origami-hard-v2-013.png,accept,"elderly_wrinkles,beard,headwear",Fine elderly identity and textile headwear passed.
origami-hard-v2-015,raw/sources/origami-hard-v2-015.png,teacher/accepted/origami-hard-v2-015.png,accept,"elderly_wrinkles,beard,profile,strong_shadow","Extreme profile wrinkles, moustache, and neck converted."
origami-hard-v2-016,raw/sources/origami-hard-v2-016.png,teacher/accepted/origami-hard-v2-016.png,accept,"clothing_bust,pedestal",Ruff and bust converted to woven textile and a neutral support.
origami-hard-v2-019,raw/sources/origami-hard-v2-019.png,teacher/accepted/origami-hard-v2-019.png,accept,"clothing_bust,profile","Profile, hair, and architectural garment converted to plausible human materials."
origami-hard-v2-020,raw/sources/origami-hard-v2-020.png,teacher/accepted/origami-hard-v2-020.png,accept,"clothing_bust,geometric_exaggeration",Targeted retry converted lavender facets to visible woven fabric while preserving the silhouette.
origami-hard-v2-021,raw/sources/origami-hard-v2-021.png,teacher/accepted/origami-hard-v2-021.png,reject_composition_drift,"clothing_bust,headwear,pedestal",Independent review rejected this pair because the circular pedestal was removed and the bust became an unsupported half-body portrait.
origami-hard-v2-022,raw/sources/origami-hard-v2-022.png,teacher/accepted/origami-hard-v2-022.png,accept,"clothing_bust,elderly_wrinkles","Elderly identity, scarf, coat, and bust extent passed."
origami-hard-v2-023,raw/sources/origami-hard-v2-023.png,teacher/accepted/origami-hard-v2-023.png,reject_composition_drift,"clothing_bust,unusual_gaze,strong_shadow,pedestal",Independent review rejected this pair because the sculptural base was removed and replaced by a standing or cropped human torso.
origami-hard-v2-024,raw/sources/origami-hard-v2-024.png,teacher/accepted/origami-hard-v2-024.png,accept,"scalp_neck,bald","Bald scalp, ears, neck, and jacket converted without paper residual."
origami-hard-v2-025,raw/sources/origami-hard-v2-025.png,teacher/accepted/origami-hard-v2-025.png,accept,"scalp_neck,bald,dark_skin","Dark skin, bald scalp, and long neck conversion passed."
origami-hard-v2-026,raw/sources/origami-hard-v2-026.png,teacher/accepted/origami-hard-v2-026.png,accept,"scalp_neck,bald,profile,strong_shadow",Strict profile and severe scalp geometry retained naturally.
origami-hard-v2-027,raw/sources/origami-hard-v2-027.png,teacher/accepted/origami-hard-v2-027.png,accept,"scalp_neck,bald,geometric_exaggeration",Targeted retry preserves the elongated cranium and neck in plausible anatomy.
origami-hard-v2-028,raw/sources/origami-hard-v2-028.png,teacher/accepted/origami-hard-v2-028.png,accept,"scalp_neck,bald,elderly_wrinkles","Elderly bald identity, neck wrinkles, and shawl passed."
origami-hard-v2-029,raw/sources/origami-hard-v2-029.png,teacher/accepted/origami-hard-v2-029.png,accept,"compound,dark_skin,profile,hair_headwear,clothing_bust,strong_shadow","Dark profile, headwrap, coat, and dramatic light passed."
origami-hard-v2-030,raw/sources/origami-hard-v2-030.png,teacher/accepted/origami-hard-v2-030.png,accept,"compound,elderly_wrinkles,beard,clothing_bust,strong_shadow","Complex elderly beard, robe, and bust conversion passed."
origami-hard-v2-031,raw/sources/origami-hard-v2-031.png,teacher/accepted/origami-hard-v2-031.png,accept,"compound,bald,scalp_neck,dark_skin,clothing_bust",Bald dark-skinned bust and tailored garment passed.
origami-hard-v2-032,raw/sources/origami-hard-v2-032.png,teacher/accepted/origami-hard-v2-032.png,accept,"compound,headscarf,elderly_wrinkles,profile","Elderly profile, headscarf, and environmental composition passed."
origami-hard-v2-033,raw/sources/origami-hard-v2-033.png,teacher/accepted/origami-hard-v2-033.png,accept,"compound,hair_headwear,unusual_gaze,geometric_exaggeration",Unusual gaze and explosive paper crown converted to individually styled hair.
origami-hard-v2-036,raw/sources/origami-hard-v2-036.png,teacher/accepted/origami-hard-v2-036.png,accept,"compound,elderly_wrinkles,bald,profile,scalp_neck","Elderly bald profile, ears, neck, and minimal clothing passed."
