source_id,asset_path,style_category,role,notes
synthetic-3d-cartoon-001,raw/3d_cartoon/synthetic-3d-cartoon-001.png,3d_cartoon,holdout,legacy five-source continuity case
synthetic-3d-cartoon-002,raw/3d_cartoon/synthetic-3d-cartoon-002.png,3d_cartoon,holdout,legacy five-source continuity case
synthetic-3d-cartoon-003,raw/3d_cartoon/synthetic-3d-cartoon-003.png,3d_cartoon,holdout,legacy five-source continuity case
synthetic-3d-cartoon-004,raw/3d_cartoon/synthetic-3d-cartoon-004.png,3d_cartoon,holdout,legacy five-source continuity case
synthetic-3d-cartoon-005,raw/3d_cartoon/synthetic-3d-cartoon-005.png,3d_cartoon,holdout,legacy five-source continuity case
synthetic-3d-cartoon-006,batch1/raw/3d_cartoon/synthetic-3d-cartoon-006.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-007,batch1/raw/3d_cartoon/synthetic-3d-cartoon-007.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-008,batch1/raw/3d_cartoon/synthetic-3d-cartoon-008.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-009,batch1/raw/3d_cartoon/synthetic-3d-cartoon-009.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-010,batch1/raw/3d_cartoon/synthetic-3d-cartoon-010.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-011,batch1/raw/3d_cartoon/synthetic-3d-cartoon-011.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-012,batch1/raw/3d_cartoon/synthetic-3d-cartoon-012.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-013,batch1/raw/3d_cartoon/synthetic-3d-cartoon-013.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-014,batch1/raw/3d_cartoon/synthetic-3d-cartoon-014.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-015,batch1/raw/3d_cartoon/synthetic-3d-cartoon-015.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-016,batch1/raw/3d_cartoon/synthetic-3d-cartoon-016.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-017,batch1/raw/3d_cartoon/synthetic-3d-cartoon-017.png,3d_cartoon,holdout,large-eye geometry stress case
synthetic-3d-cartoon-018,batch1/raw/3d_cartoon/synthetic-3d-cartoon-018.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-019,batch1/raw/3d_cartoon/synthetic-3d-cartoon-019.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-020,batch1/raw/3d_cartoon/synthetic-3d-cartoon-020.png,3d_cartoon,candidate,clear single-face portrait
synthetic-3d-cartoon-021,batch1/raw/3d_cartoon/synthetic-3d-cartoon-021.png,3d_cartoon,candidate,clear single-face portrait
